numero;id;status;vazia;robo;entregue_auto;origem;destino;carreta;cavalo;via;conclusao;pontos;km_ultimo_ponto_ao_destino;km_maior_aproximacao;h_calado_no_fim;problemas
C-2026-000075;75;Entregue;N;S;N;HIDROLANDIA;RIBEIRAO PIRES/SP;GSV8C03;HOA0B56;—;2026-08-20 00:00:00;0;;;;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000077;77;Entregue;N;S;N;SERRA;JUNDIAI/SP;HNL0A70;TYX9F59;cavalo;2026-08-20 00:00:00;3042;6.1;2.7;0.0;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000083;83;Entregue;N;S;N;EXTREMA;BRASILIA/DF;HOA0E67;HKE0G75;—;2026-08-24 00:00:00;0;;;;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000084;84;Entregue;N;S;N;EXTREMA;ANAPOLIS/GO;HOA0E66;HIF2E39;carreta1;2026-08-21 00:00:00;441;293.1;291.0;9.2;PERDEU O RASTREIO EM ROTA (9h calado, a 293 km do destino) | FECHOU SEM EVIDENCIA (aparelho calado ha 9h, a 293 km) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000372;372;Entregue;N;N;N;Amparo;Uberlândia/MG;HKE0420;QOY6F50;cavalo;2026-08-19 00:00:00;3046;291.5;0.0;0.0;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000375;375;Entregue;N;N;S;Uberlândia;Rio de Janeiro/RJ;TZB0J17;AZM6E29;carreta1;2026-08-05 00:00:00;56;142.1;137.8;1.9;FECHOU CONTRA O GPS (a 142 km do destino, aparelho ativo) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000376;376;Entregue;N;N;S;Uberlândia;Arujá/SP;TZC9G24;TYX9F55;carreta1;2026-08-19 00:00:00;1117;2000.3;41.7;4.2;FECHOU CONTRA O GPS (a 2000 km do destino, aparelho ativo) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000380;380;Entregue;N;N;S;Uberlândia;Senador Canedo/GO;QXA2997;ITD7F37;carreta1;2026-08-05 00:00:00;5;255.2;255.2;33.4;PERDEU O RASTREIO EM ROTA (33h calado, a 255 km do destino) | FECHOU SEM EVIDENCIA (aparelho calado ha 33h, a 255 km) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000392;392;Entregue;N;N;N;Jundiaí;Brasília/DF;QXH6946;TDW4G23;carreta1;2026-08-26 00:00:00;1418;346.5;29.8;3.5;FECHOU CONTRA O GPS (a 347 km do destino, aparelho ativo) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000398;398;Entregue;N;N;N;Nerópolis;Pouso Alegre/MG;HOA0467;HKE0G75;—;2026-08-17 00:00:00;0;;;;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000427;427;Entregue;N;S;N;Uberlândia;Guarulhos/SP;MWP0H69;AVH6F10;carreta1;2026-08-21 00:00:00;15;429.8;429.8;41.5;PERDEU O RASTREIO EM ROTA (42h calado, a 430 km do destino) | FECHOU SEM EVIDENCIA (aparelho calado ha 42h, a 430 km) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000430;430;Entregue;N;S;S;Serra;Jundiaí/SP;HKE0E80;CYB3H13;carreta1;2026-08-21 08:31:29;393;54.0;6.2;11.1;PERDEU O RASTREIO EM ROTA (11h calado, a 54 km do destino)
C-2026-000434;434;Entregue;N;S;N;Uberlândia;Rio de Janeiro/RJ;HDI9F40;DIL8F42;carreta1;2026-08-21 00:00:00;926;202.5;41.3;0.0;FECHOU CONTRA O GPS (a 203 km do destino, aparelho ativo) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000447;447;Entregue;N;S;N;Uberlândia;Rio de Janeiro/RJ;HKE0E20;QJP0A68;—;2026-08-22 00:00:00;0;;;;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000456;456;Entregue;N;S;N;Jarinu;Hidrolândia/GO;GSV8C03;HOA0B56;—;2026-08-24 00:00:00;0;;;;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000457;457;Entregue;N;S;N;Resende;Extrema/MG;QWZ9B18;FFA2I61;carreta1;2026-08-22 00:00:00;272;118.1;118.1;9.2;PERDEU O RASTREIO EM ROTA (9h calado, a 118 km do destino) | FECHOU SEM EVIDENCIA (aparelho calado ha 9h, a 118 km) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000459;459;Entregue;N;S;N;Jundiaí;Teresina/PI;HNL0A70;TYX9F59;cavalo;2026-08-21 00:00:00;1307;1890.3;1890.3;0.0;FECHOU ANTES (chegou a 4 km do destino so depois) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000469;469;Entregue;N;S;S;Monte Mor;Goiânia/GO;HKE0E80;CYB3H13;carreta1;2026-08-26 03:42:22;355;21.5;3.9;7.2;PERDEU O RASTREIO EM ROTA (7h calado, a 22 km do destino)
C-2026-000473;473;Entregue;N;S;N;Extrema;Uberaba/MG;MWP0H69;AVH6F10;carreta1;2026-08-29 00:00:00;16;103.9;86.8;97.7;PERDEU O RASTREIO EM ROTA (98h calado, a 104 km do destino) | FECHOU SEM EVIDENCIA (aparelho calado ha 98h, a 104 km) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000476;476;Entregue;N;S;N;Uberlândia;Teresina/PI;HNL0A70;TYX9F59;cavalo;2026-08-27 00:00:00;5662;508.3;3.5;0.0;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000485;485;Entregue;N;S;N;Jundiaí;Anápolis/GO;HKE0E20;QJP0A68;—;2026-08-24 00:00:00;0;;;;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000493;493;Entregue;N;S;N;Uberlândia;Serra/ES;HOA0E67;HDI9E22;—;2026-08-28 00:00:00;0;;;;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000494;494;Entregue;N;S;N;Uberlândia;Serra/ES;HOA0E67;HIF2E39;cavalo;2026-08-28 00:00:00;1164;6.1;5.4;0.1;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000495;495;Entregue;N;S;N;Hidrolândia;Ribeirão Pires/SP;TZC0I41;JXX4C04;—;2026-09-02 00:00:00;0;;;;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000503;503;Entregue;N;S;N;Hidrolândia;Castanhal/PA;GSV8C03;QPJ1I60;cavalo;2026-08-28 00:00:00;1515;1.8;1.7;0.2;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000505;505;Entregue;N;S;N;Uberlândia;Anápolis/GO;HKE0E20;HJZ0B89;—;2026-08-26 00:00:00;0;;;;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000506;506;Entregue;N;S;S;Uberlândia;Rio de Janeiro/RJ;JSX7G63;HMV3A15;carreta1;2026-08-27 09:51:23;393;51.2;12.3;11.4;PERDEU O RASTREIO EM ROTA (11h calado, a 51 km do destino)
C-2026-000507;507;Entregue;N;S;N;Uberlândia;Ribeirão Pires/SP;QXG2G51;HMV6I37;carreta1;2026-08-29 00:27:08;664;22.1;21.6;0.3;FECHOU CONTRA O GPS (a 22 km do destino, aparelho ativo)
C-2026-000511;511;Entregue;N;S;N;Nerópolis;Rio de Janeiro/RJ;HFB9H03;HOA0B56;carreta1;2026-08-30 00:00:00;527;131.9;25.5;0.4;FECHOU CONTRA O GPS (a 132 km do destino, aparelho ativo) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000530;530;Entregue;N;S;N;Aparecida de Goiânia;Uberlândia/MG;HKE0E20;HJZ0B89;—;2026-08-29 00:00:00;0;;;;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000535;535;Entregue;N;S;N;Extrema;Uberlândia/MG;TZD5A42;AKD0C26;carreta1;2026-08-28 00:00:00;179;0.0;0.0;2.3;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000545;545;Entregue;N;S;N;Cordeirópolis;Brasília/DF;HMV3D38;TDW4G23;carreta1;2026-08-31 00:00:00;23;197.7;197.7;3.2;FECHOU CONTRA O GPS (a 198 km do destino, aparelho ativo) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000550;550;Entregue;N;S;N;Ananindeua;Embu das Artes/SP;HNL0A70;TYX9F59;cavalo;2026-08-31 00:00:00;3905;550.7;548.3;0.0;FECHOU ANTES (chegou a 1 km do destino so depois) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000552;552;Em rota;N;S;N;São Bernardo do Campo;Uberlândia/MG;QXG2G51;HMV6I37;carreta1;;321;573.3;456.9;77.3;PERDEU O RASTREIO EM ROTA (77h calado, a 573 km do destino)
C-2026-000566;566;Entregue;N;S;N;Uberlândia;Rio de Janeiro/RJ;HKE0D75;AVH6F10;carreta1;2026-09-01 00:00:00;324;47.5;38.9;3.9;FECHOU CONTRA O GPS (a 47 km do destino, aparelho ativo) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000571;571;Entregue;N;S;N;Nerópolis;Pouso Alegre/MG;HMV3H14;QOY6F50;carreta1;2026-09-01 00:00:00;28;155.0;155.0;9.6;PERDEU O RASTREIO EM ROTA (10h calado, a 155 km do destino) | FECHOU SEM EVIDENCIA (aparelho calado ha 10h, a 155 km) | MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000573;573;Entregue;N;S;N;Uberlândia;Guarulhos/SP;MWP0H69;HBG6D56;—;2026-08-31 00:00:00;0;;;;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000575;575;Entregue;N;S;N;Uberlândia;Guarulhos/SP;QXG2G47;MSQ1J73;carreta1;2026-08-31 00:00:00;25;16.3;16.3;0.5;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
C-2026-000578;578;Em rota;N;S;N;Cordeirópolis;Brasília/DF;QWZ9B18;FFA2I61;carreta1;;570;162.7;88.8;84.0;PERDEU O RASTREIO EM ROTA (84h calado, a 163 km do destino)
C-2026-000586;586;Em rota;N;S;N;Jundiaí;Hidrolândia/GO;HFB9H03;HOA0B56;carreta1;;293;118.9;118.9;97.2;PERDEU O RASTREIO EM ROTA (97h calado, a 119 km do destino)
C-2026-000587;587;Em rota;N;S;N;Jundiaí;Hidrolândia/GO;HFB9H03;HOA0B56;carreta1;;293;118.9;118.9;97.2;PERDEU O RASTREIO EM ROTA (97h calado, a 119 km do destino)
C-2026-000588;588;Em rota;N;S;N;Franca;Cordeirópolis/SP;CYN6H25;TYX9F55;cavalo;;5021;412.7;5.3;73.5;PERDEU O RASTREIO EM ROTA (73h calado, a 413 km do destino)
C-2026-000593;593;Em rota;N;S;N;Suzano;Hidrolândia/GO;QXA9H75;QUY5E03;carreta1;;369;120.8;120.8;116.6;PERDEU O RASTREIO EM ROTA (117h calado, a 121 km do destino)
C-2026-000595;595;Em rota;N;S;N;Suzano;Hidrolândia/GO;GZQ3A80;DIL8F42;carreta1;;560;233.2;233.2;73.5;PERDEU O RASTREIO EM ROTA (73h calado, a 233 km do destino)
C-2026-000597;597;Entregue;N;S;N;Extrema;Uberlândia/MG;MWP0H69;HBG6D56;—;2026-09-01 00:00:00;0;;;;MEIA-NOITE (conclusao 00:00:00 — fechamento documental)
